Title,List,Listfulldetails
Best Books Ever,https://goodreads.com/list/show/1.Best_Books_Ever,"98,155 books
    
    233,057 voters"
Books That Everyone Should Read At Least Once,https://goodreads.com/list/show/264.Books_That_Everyone_Should_Read_At_Least_Once,"27,222 books
    
    104,948 voters"
Best Young Adult Books,https://goodreads.com/list/show/43.Best_Young_Adult_Books,"12,288 books
    
    82,818 voters"
Books That Should Be Made Into Movies,https://goodreads.com/list/show/1043.Books_That_Should_Be_Made_Into_Movies,"30,912 books
    
    70,350 voters"
Best Books of the 20th Century,https://goodreads.com/list/show/6.Best_Books_of_the_20th_Century,"7,764 books
    
    50,477 voters"
Best Books of the Decade: 2000s,https://goodreads.com/list/show/5.Best_Books_of_the_Decade_2000s,"7,031 books
    
    28,391 voters"
Best Book Boyfriends,https://goodreads.com/list/show/10762.Best_Book_Boyfriends,"9,683 books
    
    28,156 voters"
Best Historical Fiction,https://goodreads.com/list/show/15.Best_Historical_Fiction,"6,806 books
    
    26,355 voters"
Best Dystopian and Post-Apocalyptic Fiction,https://goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"3,321 books
    
    25,801 voters"
The Best Epic Fantasy (fiction),https://goodreads.com/list/show/50.The_Best_Epic_Fantasy_fiction_,"3,639 books
    
    25,662 voters"
Title,List,Listfulldetails
Best Science Fiction & Fantasy Books,https://goodreads.com/list/show/3.Best_Science_Fiction_Fantasy_Books,"7,796 books
    
    23,534 voters"
What To Read Next,https://goodreads.com/list/show/1938.What_To_Read_Next,"15,889 books
    
    22,441 voters"
Best Books of the 21st Century,https://goodreads.com/list/show/7.Best_Books_of_the_21st_Century,"9,559 books
    
    21,879 voters"
"Best ""Strong Female"" Fantasy Novels",https://goodreads.com/list/show/1023.Best_Strong_Female_Fantasy_Novels,"4,000 books
    
    19,573 voters"
The BOOK was BETTER than the MOVIE,https://goodreads.com/list/show/429.The_BOOK_was_BETTER_than_the_MOVIE,"1,521 books
    
    18,641 voters"
The Worst Books of All Time,https://goodreads.com/list/show/2.The_Worst_Books_of_All_Time,"7,739 books
    
    18,293 voters"
Most Exciting Upcoming YA Books,https://goodreads.com/list/show/153.Most_Exciting_Upcoming_YA_Books,"130 books
    
    17,507 voters"
Books You Wish More People Knew About,https://goodreads.com/list/show/8166.Books_You_Wish_More_People_Knew_About,"17,818 books
    
    15,606 voters"
Can't Wait Books of 2012,https://goodreads.com/list/show/6634.Can_t_Wait_Books_of_2012,"2,491 books
    
    15,536 voters"
Can't Wait Books of 2014,https://goodreads.com/list/show/17252.Can_t_Wait_Books_of_2014,"2,417 books
    
    15,438 voters"
Title,List,Listfulldetails
Best Crime & Mystery Books,https://goodreads.com/list/show/11.Best_Crime_Mystery_Books,"6,854 books
    
    14,877 voters"
Best for Book Clubs,https://goodreads.com/list/show/19.Best_for_Book_Clubs,"9,001 books
    
    13,566 voters"
Best Books of the Decade: 2010s,https://goodreads.com/list/show/4093.Best_Books_of_the_Decade_2010s,"7,254 books
    
    13,489 voters"
Best Paranormal Romance Series,https://goodreads.com/list/show/397.Best_Paranormal_Romance_Series,"1,341 books
    
    13,483 voters"
Best Teen Books About Real Problems,https://goodreads.com/list/show/1736.Best_Teen_Books_About_Real_Problems,"2,804 books
    
    13,119 voters"
